ID,MAE,Group
322,0.12100216001272202,test
114,0.11873865127563477,test
325,0.12564410269260406,test
267,0.12354585528373718,test
307,0.12142829596996307,test
124,0.12395959347486496,test
202,0.1196487694978714,test
223,0.11780305951833725,test
254,0.11616836488246918,test
152,0.11861664056777954,test
75,0.11931630969047546,test
183,0.11690405756235123,test
153,0.11884450912475586,test
110,0.12015760689973831,test
224,0.11829791963100433,test
39,0.11664185672998428,test
295,0.11697393655776978,test
77,0.11711421608924866,test
56,0.11779675632715225,test
175,0.11690501868724823,test
229,0.11771789193153381,test
45,0.11654951423406601,test
299,0.11669658869504929,test
284,0.11662361770868301,test
82,0.11764883995056152,test
25,0.11728961020708084,test
140,0.11761188507080078,test
9,0.11801836639642715,test
139,0.11792376637458801,test
312,0.11865487694740295,test
109,0.11917418986558914,test
116,0.11889547854661942,test
22,0.11888910084962845,test
245,0.1192450076341629,test
209,0.11970781534910202,test
55,0.12006291002035141,test
42,0.1201712116599083,test
30,0.12004338949918747,test
239,0.12024713307619095,test
335,0.11984815448522568,test
118,0.1191800981760025,test
84,0.11953715234994888,test
108,0.11944423615932465,test
5,0.11975874751806259,test
275,0.12028251588344574,test
119,0.12050147354602814,test
57,0.11978156864643097,test
198,0.1198565736413002,test
73,0.11963827908039093,test
321,0.11943081766366959,test
336,0.11926566809415817,test
3,0.11901069432497025,test
199,0.11900734156370163,test
332,0.11866987496614456,test
278,0.11869078874588013,test
211,0.1190921738743782,test
46,0.1193300113081932,test
337,0.11906737834215164,test
72,0.11870859563350677,test
113,0.11901841312646866,test
157,0.11903524398803711,test
33,0.11906369775533676,test
63,0.11926823854446411,test
342,0.11934713274240494,test
76,0.11956547945737839,test
93,0.1196921095252037,test
179,0.12007980793714523,test
182,0.12047940492630005,test
196,0.12060018628835678,test
324,0.12085651606321335,test
176,0.1204252764582634,train
78,0.12010815739631653,train
90,0.1201103925704956,train
16,0.11984236538410187,train
66,0.11975611001253128,train
126,0.11960916966199875,train
7,0.11953664571046829,train
219,0.11942384392023087,train
344,0.11929072439670563,train
331,0.11941452324390411,train
304,0.11949310451745987,train
94,0.11948168277740479,train
177,0.11892227828502655,train
180,0.11914990842342377,train
262,0.11949742585420609,train
60,0.11983873695135117,train
292,0.11991245299577713,train
244,0.11999259144067764,train
101,0.12003028392791748,train
279,0.12002425640821457,train
132,0.11970194429159164,train
17,0.12000557780265808,train
24,0.1198563352227211,train
305,0.11987978219985962,train
197,0.11992671340703964,train
148,0.12004806846380234,train
283,0.12012193351984024,train
343,0.12025439739227295,train
194,0.11991684883832932,train
203,0.11998441815376282,train
256,0.12017063051462173,train
158,0.1202862560749054,train
147,0.12046310305595398,train
19,0.1203911229968071,train
143,0.12047965079545975,train
79,0.12041229009628296,train
339,0.12058287113904953,train
18,0.12084728479385376,train
258,0.12059089541435242,train
104,0.12041018903255463,train
285,0.12037641555070877,train
31,0.12049143016338348,train
250,0.12056758999824524,train
155,0.12066366523504257,train
261,0.12057848274707794,train
255,0.12063557654619217,train
237,0.1204184964299202,train
326,0.1200442984700203,train
287,0.12014416605234146,train
59,0.12042975425720215,train
145,0.12024573981761932,train
274,0.12043294310569763,train
111,0.12023241817951202,train
137,0.12042488157749176,train
15,0.12057802081108093,train
234,0.12064724415540695,train
6,0.12049449980258942,train
249,0.12056799232959747,train
227,0.1204339861869812,train
10,0.12039633095264435,train
272,0.120371975004673,train
247,0.1202302873134613,train
81,0.12016328424215317,train
168,0.12005238234996796,train
193,0.11983495950698853,train
327,0.11981593817472458,train
173,0.11995405703783035,train
228,0.12006961554288864,train
185,0.11999154835939407,train
92,0.12006857991218567,train
69,0.12014573067426682,train
242,0.1202516034245491,train
96,0.12004604190587997,train
265,0.12014922499656677,train
97,0.12016062438488007,train
210,0.12031586468219757,train
68,0.12011559307575226,train
