loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
1.5869358777999878,2.0575618743896484,1.8831722736358643,2.4009621143341064
1.4988971948623657,1.9733301401138306,1.357071042060852,1.5774632692337036
1.452210545539856,1.8269538879394531,1.371634840965271,1.615424394607544
1.3753268718719482,1.6680717468261719,1.3112999200820923,1.4874584674835205
1.4335012435913086,1.7291783094406128,1.3518428802490234,1.5395199060440063
1.4490200281143188,1.7437407970428467,1.5049331188201904,1.896606206893921
1.398671269416809,1.6669036149978638,1.4266164302825928,1.7993497848510742
1.3781607151031494,1.6480668783187866,1.4885183572769165,1.8801120519638062
1.398442029953003,1.6355987787246704,1.6088932752609253,2.02114200592041
1.434855341911316,1.8161545991897583,1.391091227531433,1.669004201889038
1.3908302783966064,1.6600444316864014,1.5118781328201294,1.9019490480422974
1.3887553215026855,1.6454209089279175,1.5546773672103882,1.9505265951156616
1.4114841222763062,1.7039217948913574,1.4158095121383667,1.7042384147644043
1.3970670700073242,1.6131396293640137,1.3909924030303955,1.735013723373413
1.332379937171936,1.5710002183914185,1.4575451612472534,1.8583908081054688
1.2465295791625977,1.5129683017730713,1.4493608474731445,1.888737440109253
1.0960444211959839,1.4483885765075684,1.522179365158081,1.9635322093963623
1.1472737789154053,1.435673475265503,1.2165212631225586,1.5729877948760986
1.3715158700942993,1.8843766450881958,1.8711153268814087,2.3806140422821045
1.5038987398147583,2.000566005706787,1.4334913492202759,1.7313085794448853
1.386322259902954,1.6908442974090576,1.4341728687286377,1.742761254310608
1.4050610065460205,1.6681413650512695,1.498510718345642,1.8834264278411865
1.4141077995300293,1.6769561767578125,1.4437774419784546,1.8098679780960083
1.3729743957519531,1.694219946861267,1.4364092350006104,1.7614980936050415
1.377617597579956,1.6873961687088013,1.4227591753005981,1.683038353919983
1.397634744644165,1.7124723196029663,1.4390417337417603,1.7793816328048706
1.3810091018676758,1.7022522687911987,1.4580895900726318,1.839691162109375
1.3732587099075317,1.6884571313858032,1.3871815204620361,1.6747492551803589
1.3150774240493774,1.5899732112884521,1.493053674697876,1.88590407371521
1.2746913433074951,1.5128439664840698,1.6597137451171875,2.089484214782715
