loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
1.489083170890808,1.9623730182647705,1.2940118312835693,1.4624295234680176
1.5275367498397827,2.036586284637451,1.8055198192596436,2.289354085922241
1.4323164224624634,1.7332127094268799,1.6240335702896118,2.050323963165283
1.3600096702575684,1.6688942909240723,1.3304404020309448,1.5778807401657104
1.5362002849578857,2.0115561485290527,1.7542098760604858,2.212319850921631
1.4540822505950928,1.8625279664993286,1.3879305124282837,1.6921861171722412
1.3528265953063965,1.641899824142456,1.3673518896102905,1.692028522491455
1.3299541473388672,1.5805556774139404,1.4102681875228882,1.793907642364502
1.2665233612060547,1.5218758583068848,1.296975016593933,1.6153110265731812
1.1147780418395996,1.384978175163269,1.7404695749282837,2.23982310295105
1.3930230140686035,1.6984541416168213,1.0670337677001953,1.32071053981781
1.3733837604522705,1.8720015287399292,1.746917963027954,2.207625150680542
1.4381215572357178,1.8142775297164917,1.346970558166504,1.646870493888855
1.2911559343338013,1.6577725410461426,1.6992522478103638,2.1465885639190674
1.343895673751831,1.7061810493469238,1.5424299240112305,1.96394681930542
1.2661739587783813,1.5961077213287354,1.382293701171875,1.761188268661499
1.3567328453063965,1.7450910806655884,1.772843360900879,2.2456369400024414
1.4876856803894043,1.9623641967773438,1.523713231086731,1.931522250175476
1.1177793741226196,1.3504689931869507,1.0694193840026855,1.3312513828277588
1.0918221473693848,1.4888964891433716,1.0699623823165894,1.374168872833252
0.9391124844551086,1.2901986837387085,1.0852223634719849,1.4386640787124634
0.8275185227394104,1.1209444999694824,0.9426977038383484,1.231127142906189
0.8854501247406006,1.2380332946777344,1.0602480173110962,1.4181766510009766
0.7748331427574158,1.0815459489822388,0.9387513995170593,1.2178698778152466
0.8095813989639282,1.125793218612671,0.9371752142906189,1.2703596353530884
0.8585459589958191,1.1496251821517944,1.069309949874878,1.3817297220230103
0.7256565690040588,1.0177704095840454,1.1218070983886719,1.4775174856185913
0.8741803169250488,1.2194483280181885,1.0189045667648315,1.3012783527374268
0.7876418232917786,1.1176115274429321,0.905237078666687,1.201890468597412
0.7099577188491821,1.02278470993042,1.039059042930603,1.4052734375
