ID,UMAP1,UMAP2
250,5.372479,1.7490994
251,5.371452,1.7050722
252,3.6865542,-0.07820601
253,4.1867356,0.7406079
254,4.1282396,1.2853274
255,5.091285,1.6432519
256,3.4507082,-0.03931738
257,5.1779056,2.0056283
258,6.657068,0.6858689
259,5.6837945,-1.3549973
260,3.9178336,0.006920068
261,5.7774057,2.289036
262,3.545019,0.17173278
263,5.537487,2.2621264
264,3.5048208,-0.29858705
265,5.8249674,1.9839253
266,3.4343455,0.008723767
267,4.8822985,-0.017054528
268,5.7965274,-1.1019439
269,7.1491537,0.89390796
270,3.1933913,-0.40366292
271,5.3302794,1.302133
272,4.0877023,-1.0511382
273,6.041316,1.6014994
274,3.8022296,-0.034217063
275,4.9692984,2.1274343
276,3.240495,-0.17339855
277,6.1074624,1.0703539
278,5.3178225,-0.19593328
279,6.3889694,-0.0768786
280,5.3296676,-0.5485206
281,6.348174,0.48045653
282,4.0749407,-0.11794116
283,4.7529163,0.9979435
284,4.819211,-0.85979265
285,4.899972,1.0099554
286,3.5855825,-1.1510781
287,4.134347,1.837803
288,5.185437,-1.6813488
289,6.7560477,0.94688356
290,4.877579,-1.5580459
291,6.795801,0.82934445
292,5.5004897,-0.8662841
293,6.8572474,1.2448721
294,6.3215027,-1.2299047
295,7.307486,0.37977472
296,6.3996625,-1.1895663
297,6.393844,-0.71987814
298,5.7876983,0.87521255
299,5.1969185,-1.7738988
300,6.13634,0.4683245
301,3.565875,-0.5544557
302,4.883669,2.315421
303,4.6122737,-1.3516247
304,3.3432107,-0.1052115
305,4.7276177,2.1901605
306,5.572971,-1.282229
307,6.3632402,0.59902936
308,3.4916143,-1.5514151
309,5.784338,2.3107448
310,3.4994934,-1.5393422
311,5.3954554,2.1748953
312,5.9794393,2.062546
313,3.313021,-1.3832722
314,4.432817,-0.54151714
315,6.301685,1.0687822
316,4.420285,-0.7281931
317,5.3771467,0.8868941
318,4.724899,-1.0417434
319,5.6407824,1.8971338
320,4.1720157,1.9088597
321,4.119451,1.7341322
322,6.198617,-0.90229625
323,5.0994873,0.48496684
324,5.0993857,1.6288944
325,4.3742757,1.8120881
326,5.279737,-0.046225667
327,4.890543,-1.0457793
328,4.468962,-0.38528422
329,6.260343,0.75246406
330,4.1672516,-0.54054534
331,5.728351,1.2316487
332,5.2705317,-1.3868624
333,7.151555,0.6422177
334,5.6912847,-1.1071987
335,6.169581,0.13282187
336,5.5465183,-0.80554056
337,7.541631,0.48015937
338,5.452899,-0.4302829
339,3.92725,-1.002333
340,4.469516,1.7431765
341,5.092922,-0.484705
342,4.685746,1.440719
343,4.9000974,-0.63828206
344,5.9392447,0.3840053
345,4.9824443,-0.48574504
346,7.279128,0.736483
